Latitude,Longitude,Altitude,Distance_3D_m,RSSI_dBm,AP_Label
47.398,8.54616,3.69,43.8725,-71,cf:b0:58:77:a8:b2
47.398,8.54616,3.69,53.3315,-73,90:d7:23:69:16:70
47.398,8.54616,3.69,33.1771,-68,7c:cd:d1:a0:1b:21
47.398,8.54616,4.5,43.5496,-70,cd:b6:52:f6:89:43
47.398,8.54616,4.5,38.4913,-69,85:92:3b:56:c7:33
47.398,8.54616,4.5,43.3359,-70,cf:b0:58:77:a8:b2
47.398,8.54616,4.5,52.717,-73,90:d7:23:69:16:70
47.398,8.54616,4.5,32.4339,-67,7c:cd:d1:a0:1b:21
47.398,8.54616,4.77,43.3198,-70,cd:b6:52:f6:89:43
47.398,8.54616,4.77,38.2767,-69,85:92:3b:56:c7:33
47.398,8.54616,4.77,43.1589,-70,cf:b0:58:77:a8:b2
47.398,8.54616,4.77,52.5134,-73,90:d7:23:69:16:70
47.398,8.54616,4.77,32.1868,-67,7c:cd:d1:a0:1b:21
47.398,8.54616,4.96,43.1584,-70,cd:b6:52:f6:89:43
47.398,8.54616,4.96,38.126,-69,85:92:3b:56:c7:33
47.398,8.54616,4.96,43.0349,-70,cf:b0:58:77:a8:b2
47.398,8.54616,4.96,52.3704,-72,90:d7:23:69:16:70
47.398,8.54616,4.96,32.0132,-67,7c:cd:d1:a0:1b:21
47.398,8.54616,5.07,43.0651,-70,cd:b6:52:f6:89:43
47.398,8.54616,5.07,38.039,-69,85:92:3b:56:c7:33
47.398,8.54616,5.07,42.9634,-70,cf:b0:58:77:a8:b2
47.398,8.54616,5.07,52.2878,-72,90:d7:23:69:16:70
47.398,8.54616,5.07,31.9128,-67,7c:cd:d1:a0:1b:21
47.398,8.54616,5.12,43.0227,-70,cd:b6:52:f6:89:43
47.398,8.54616,5.12,37.9995,-69,85:92:3b:56:c7:33
47.398,8.54616,5.12,42.9309,-70,cf:b0:58:77:a8:b2
47.398,8.54616,5.12,52.2503,-72,90:d7:23:69:16:70
47.398,8.54616,5.12,31.8672,-67,7c:cd:d1:a0:1b:21
47.398,8.54616,5.16,42.9888,-70,cd:b6:52:f6:89:43
47.398,8.54616,5.16,37.9679,-69,85:92:3b:56:c7:33
47.398,8.54616,5.16,42.9049,-70,cf:b0:58:77:a8:b2
47.398,8.54616,5.16,52.2203,-72,90:d7:23:69:16:70
47.398,8.54616,5.16,31.8307,-67,7c:cd:d1:a0:1b:21
47.398,8.54616,5.2,42.9549,-70,cd:b6:52:f6:89:43
47.398,8.54616,5.2,37.9363,-69,85:92:3b:56:c7:33
47.398,8.54616,5.2,42.879,-70,cf:b0:58:77:a8:b2
47.398,8.54616,5.2,52.1903,-72,90:d7:23:69:16:70
47.398,8.54616,5.2,31.7942,-67,7c:cd:d1:a0:1b:21
47.398,8.54616,5.22,44.3732,-71,cd:b6:52:f6:89:43
47.398,8.54616,5.22,36.7634,-69,85:92:3b:56:c7:33
47.398,8.54616,5.22,41.1711,-70,cf:b0:58:77:a8:b2
47.398,8.54616,5.22,50.2942,-72,90:d7:23:69:16:70
47.398,8.54616,5.22,33.0647,-67,7c:cd:d1:a0:1b:21
47.398,8.54616,5.2,47.1791,-71,cd:b6:52:f6:89:43
47.398,8.54616,5.2,35.2839,-68,85:92:3b:56:c7:33
47.398,8.54616,5.2,38.6504,-69,cf:b0:58:77:a8:b2
47.398,8.54616,5.2,47.3432,-71,90:d7:23:69:16:70
47.398,8.54616,5.2,35.7577,-68,7c:cd:d1:a0:1b:21
47.3981,8.54616,5.21,49.8496,-72,cd:b6:52:f6:89:43
47.3981,8.54616,5.21,34.7217,-68,85:92:3b:56:c7:33
47.3981,8.54616,5.21,36.7549,-69,cf:b0:58:77:a8:b2
47.3981,8.54616,5.21,45.2059,-71,90:d7:23:69:16:70
47.3981,8.54616,5.21,38.381,-69,7c:cd:d1:a0:1b:21
47.3981,8.54616,5.18,51.8376,-72,cd:b6:52:f6:89:43
47.3981,8.54616,5.18,34.5905,-68,85:92:3b:56:c7:33
47.3981,8.54616,5.18,35.7819,-68,cf:b0:58:77:a8:b2
47.3981,8.54616,5.18,43.9005,-71,90:d7:23:69:16:70
47.3981,8.54616,5.18,40.3968,-70,7c:cd:d1:a0:1b:21
47.3981,8.54617,5.17,53.336,-73,cd:b6:52:f6:89:43
47.3981,8.54617,5.17,34.7145,-68,85:92:3b:56:c7:33
47.3981,8.54617,5.17,35.1343,-68,cf:b0:58:77:a8:b2
47.3981,8.54617,5.17,43.0835,-70,90:d7:23:69:16:70
47.3981,8.54617,5.17,41.9091,-70,7c:cd:d1:a0:1b:21
47.3981,8.54617,5.22,54.2601,-73,cd:b6:52:f6:89:43
47.3981,8.54617,5.22,34.9043,-68,85:92:3b:56:c7:33
47.3981,8.54617,5.22,34.6447,-68,cf:b0:58:77:a8:b2
47.3981,8.54617,5.22,42.6211,-70,90:d7:23:69:16:70
47.3981,8.54617,5.22,42.8198,-70,7c:cd:d1:a0:1b:21
47.3981,8.5462,5.25,54.741,-73,cd:b6:52:f6:89:43
47.3981,8.5462,5.25,36.0192,-68,85:92:3b:56:c7:33
47.3981,8.5462,5.25,33.4617,-68,cf:b0:58:77:a8:b2
47.3981,8.5462,5.25,43.0361,-70,90:d7:23:69:16:70
47.3981,8.5462,5.25,43.0316,-70,7c:cd:d1:a0:1b:21
47.3981,8.54626,5.2,56.6443,-73,cd:b6:52:f6:89:43
47.3981,8.54626,5.2,38.7658,-69,85:92:3b:56:c7:33
47.3981,8.54626,5.2,31.2591,-67,cf:b0:58:77:a8:b2
47.3981,8.54626,5.2,44.0319,-71,90:d7:23:69:16:70
47.3981,8.54626,5.2,44.4864,-71,7c:cd:d1:a0:1b:21
47.3981,8.5463,5.21,57.8914,-74,cd:b6:52:f6:89:43
47.3981,8.5463,5.21,41.1039,-70,85:92:3b:56:c7:33
47.3981,8.5463,5.21,29.9604,-66,cf:b0:58:77:a8:b2
47.3981,8.5463,5.21,45.3181,-71,90:d7:23:69:16:70
47.3981,8.5463,5.21,45.4337,-71,7c:cd:d1:a0:1b:21
47.3982,8.54632,5.19,58.7178,-74,cd:b6:52:f6:89:43
47.3982,8.54632,5.19,42.0969,-70,85:92:3b:56:c7:33
47.3982,8.54632,5.19,29.4992,-66,cf:b0:58:77:a8:b2
47.3982,8.54632,5.19,45.7614,-71,90:d7:23:69:16:70
47.3982,8.54632,5.19,46.1757,-71,7c:cd:d1:a0:1b:21
47.3981,8.54633,5.2,58.3706,-74,cd:b6:52:f6:89:43
47.3981,8.54633,5.2,42.4132,-70,85:92:3b:56:c7:33
47.3981,8.54633,5.2,29.5279,-66,cf:b0:58:77:a8:b2
47.3981,8.54633,5.2,46.26,-71,90:d7:23:69:16:70
47.3981,8.54633,5.2,45.768,-71,7c:cd:d1:a0:1b:21
47.3981,8.54633,5.22,56.24,-73,cd:b6:52:f6:89:43
47.3981,8.54633,5.22,42.4094,-70,85:92:3b:56:c7:33
47.3981,8.54633,5.22,30.4269,-67,cf:b0:58:77:a8:b2
47.3981,8.54633,5.22,47.5202,-71,90:d7:23:69:16:70
47.3981,8.54633,5.22,43.5475,-70,7c:cd:d1:a0:1b:21
47.3981,8.54634,5.2,53.5533,-73,cd:b6:52:f6:89:43
47.3981,8.54634,5.2,42.8739,-70,85:92:3b:56:c7:33
47.3981,8.54634,5.2,32.2556,-67,cf:b0:58:77:a8:b2
47.3981,8.54634,5.2,49.6163,-72,90:d7:23:69:16:70
47.3981,8.54634,5.2,40.7911,-70,7c:cd:d1:a0:1b:21
47.398,8.54634,5.2,51.324,-72,cd:b6:52:f6:89:43
47.398,8.54634,5.2,43.6832,-71,85:92:3b:56:c7:33
47.398,8.54634,5.2,34.3823,-68,cf:b0:58:77:a8:b2
47.398,8.54634,5.2,51.7832,-72,90:d7:23:69:16:70
47.398,8.54634,5.2,38.574,-69,7c:cd:d1:a0:1b:21
47.398,8.54634,5.19,49.9587,-72,cd:b6:52:f6:89:43
47.398,8.54634,5.19,44.5342,-71,85:92:3b:56:c7:33
47.398,8.54634,5.19,36.0908,-68,cf:b0:58:77:a8:b2
47.398,8.54634,5.19,53.4812,-73,90:d7:23:69:16:70
47.398,8.54634,5.19,37.2688,-69,7c:cd:d1:a0:1b:21
47.398,8.54634,5.2,49.2049,-72,cd:b6:52:f6:89:43
47.398,8.54634,5.2,45.0561,-71,85:92:3b:56:c7:33
47.398,8.54634,5.2,37.1359,-69,cf:b0:58:77:a8:b2
47.398,8.54634,5.2,54.4698,-73,90:d7:23:69:16:70
47.398,8.54634,5.2,36.575,-69,7c:cd:d1:a0:1b:21
47.398,8.54634,5.22,48.5249,-72,cd:b6:52:f6:89:43
47.398,8.54634,5.22,45.2945,-71,85:92:3b:56:c7:33
47.398,8.54634,5.22,37.9865,-69,cf:b0:58:77:a8:b2
47.398,8.54634,5.22,55.1237,-73,90:d7:23:69:16:70
47.398,8.54634,5.22,35.9643,-68,7c:cd:d1:a0:1b:21
47.398,8.54632,5.24,47.5938,-71,cd:b6:52:f6:89:43
47.398,8.54632,5.24,44.0407,-71,85:92:3b:56:c7:33
47.398,8.54632,5.24,38.3344,-69,cf:b0:58:77:a8:b2
47.398,8.54632,5.24,54.438,-73,90:d7:23:69:16:70
47.398,8.54632,5.24,35.1323,-68,7c:cd:d1:a0:1b:21
47.398,8.54626,5.22,45.584,-71,cd:b6:52:f6:89:43
47.398,8.54626,5.22,41.61,-70,85:92:3b:56:c7:33
47.398,8.54626,5.22,39.7356,-69,cf:b0:58:77:a8:b2
47.398,8.54626,5.22,53.4243,-73,90:d7:23:69:16:70
47.398,8.54626,5.22,33.4649,-68,7c:cd:d1:a0:1b:21
47.398,8.54621,5.21,43.9448,-71,cd:b6:52:f6:89:43
47.398,8.54621,5.21,39.5787,-69,85:92:3b:56:c7:33
47.398,8.54621,5.21,41.4204,-70,cf:b0:58:77:a8:b2
47.398,8.54621,5.21,52.76,-73,90:d7:23:69:16:70
47.398,8.54621,5.21,32.291,-67,7c:cd:d1:a0:1b:21
47.398,8.54619,5.21,43.4477,-70,cd:b6:52:f6:89:43
47.398,8.54619,5.21,38.7784,-69,85:92:3b:56:c7:33
47.398,8.54619,5.21,42.0727,-70,cf:b0:58:77:a8:b2
47.398,8.54619,5.21,52.4636,-72,90:d7:23:69:16:70
47.398,8.54619,5.21,32.011,-67,7c:cd:d1:a0:1b:21
47.398,8.54618,5.45,43.2552,-70,cd:b6:52:f6:89:43
47.398,8.54618,5.45,38.1073,-69,85:92:3b:56:c7:33
47.398,8.54618,5.45,41.9371,-70,cf:b0:58:77:a8:b2
47.398,8.54618,5.45,51.903,-72,90:d7:23:69:16:70
47.398,8.54618,5.45,31.8722,-67,7c:cd:d1:a0:1b:21
47.398,8.54618,6.15,44.103,-71,cd:b6:52:f6:89:43
47.398,8.54618,6.15,36.3562,-69,85:92:3b:56:c7:33
47.398,8.54618,6.15,39.8243,-70,cf:b0:58:77:a8:b2
47.398,8.54618,6.15,49.4693,-72,90:d7:23:69:16:70
47.398,8.54618,6.15,32.5701,-67,7c:cd:d1:a0:1b:21
47.398,8.54617,7.26,45.8232,-71,cd:b6:52:f6:89:43
47.398,8.54617,7.26,33.999,-68,85:92:3b:56:c7:33
47.398,8.54617,7.26,36.7401,-69,cf:b0:58:77:a8:b2
47.398,8.54617,7.26,45.7972,-71,90:d7:23:69:16:70
47.398,8.54617,7.26,34.1925,-68,7c:cd:d1:a0:1b:21
47.3981,8.54617,8.35,47.9961,-72,cd:b6:52:f6:89:43
47.3981,8.54617,8.35,32.247,-67,85:92:3b:56:c7:33
47.3981,8.54617,8.35,34.0303,-68,cf:b0:58:77:a8:b2
47.3981,8.54617,8.35,42.3823,-70,90:d7:23:69:16:70
47.3981,8.54617,8.35,36.4026,-69,7c:cd:d1:a0:1b:21
47.3981,8.54617,9.11,49.4931,-72,cd:b6:52:f6:89:43
47.3981,8.54617,9.11,31.325,-67,85:92:3b:56:c7:33
47.3981,8.54617,9.11,32.5989,-67,cf:b0:58:77:a8:b2
47.3981,8.54617,9.11,40.2699,-70,90:d7:23:69:16:70
47.3981,8.54617,9.11,38.0008,-69,7c:cd:d1:a0:1b:21
47.3981,8.54616,9.54,50.4203,-72,cd:b6:52:f6:89:43
47.3981,8.54616,9.54,30.9386,-67,85:92:3b:56:c7:33
47.3981,8.54616,9.54,31.8761,-67,cf:b0:58:77:a8:b2
47.3981,8.54616,9.54,39.128,-69,90:d7:23:69:16:70
47.3981,8.54616,9.54,38.9981,-69,7c:cd:d1:a0:1b:21
47.3981,8.54617,9.82,51.2256,-72,cd:b6:52:f6:89:43
47.3981,8.54617,9.82,30.8876,-67,85:92:3b:56:c7:33
47.3981,8.54617,9.82,31.2602,-67,cf:b0:58:77:a8:b2
47.3981,8.54617,9.82,38.3882,-69,90:d7:23:69:16:70
47.3981,8.54617,9.82,39.8265,-70,7c:cd:d1:a0:1b:21
47.3981,8.54619,9.95,51.5717,-72,cd:b6:52:f6:89:43
47.3981,8.54619,9.95,31.8307,-67,85:92:3b:56:c7:33
47.3981,8.54619,9.95,30.0627,-66,cf:b0:58:77:a8:b2
47.3981,8.54619,9.95,38.6601,-69,90:d7:23:69:16:70
47.3981,8.54619,9.95,39.9343,-70,7c:cd:d1:a0:1b:21
47.3981,8.54624,10.04,52.971,-73,cd:b6:52:f6:89:43
47.3981,8.54624,10.04,34.3319,-68,85:92:3b:56:c7:33
47.3981,8.54624,10.04,27.7119,-66,cf:b0:58:77:a8:b2
47.3981,8.54624,10.04,39.5505,-69,90:d7:23:69:16:70
47.3981,8.54624,10.04,40.8982,-70,7c:cd:d1:a0:1b:21
47.3981,8.5463,10.12,54.7406,-73,cd:b6:52:f6:89:43
47.3981,8.5463,10.12,37.3076,-69,85:92:3b:56:c7:33
47.3981,8.5463,10.12,25.661,-65,cf:b0:58:77:a8:b2
47.3981,8.5463,10.12,40.9394,-70,90:d7:23:69:16:70
47.3981,8.5463,10.12,42.3098,-70,7c:cd:d1:a0:1b:21
47.3982,8.54632,10.15,55.6892,-73,cd:b6:52:f6:89:43
47.3982,8.54632,10.15,38.5617,-69,85:92:3b:56:c7:33
47.3982,8.54632,10.15,24.9501,-64,cf:b0:58:77:a8:b2
47.3982,8.54632,10.15,41.5004,-70,90:d7:23:69:16:70
47.3982,8.54632,10.15,43.1577,-70,7c:cd:d1:a0:1b:21
47.3981,8.54633,10.18,55.3103,-73,cd:b6:52:f6:89:43
47.3981,8.54633,10.18,38.892,-69,85:92:3b:56:c7:33
47.3981,8.54633,10.18,24.9627,-64,cf:b0:58:77:a8:b2
47.3981,8.54633,10.18,42.0315,-70,90:d7:23:69:16:70
47.3981,8.54633,10.18,42.7082,-70,7c:cd:d1:a0:1b:21
47.3981,8.54633,10.22,53.6507,-73,cd:b6:52:f6:89:43
47.3981,8.54633,10.22,38.9424,-69,85:92:3b:56:c7:33
47.3981,8.54633,10.22,25.6615,-65,cf:b0:58:77:a8:b2
47.3981,8.54633,10.22,43.0869,-70,90:d7:23:69:16:70
47.3981,8.54633,10.22,40.9378,-70,7c:cd:d1:a0:1b:21
47.3981,8.54634,10.19,50.7527,-72,cd:b6:52:f6:89:43
47.3981,8.54634,10.19,39.35,-69,85:92:3b:56:c7:33
47.3981,8.54634,10.19,27.6658,-66,cf:b0:58:77:a8:b2
47.3981,8.54634,10.19,45.3054,-71,90:d7:23:69:16:70
47.3981,8.54634,10.19,37.8908,-69,7c:cd:d1:a0:1b:21
47.398,8.54634,10.2,48.3492,-72,cd:b6:52:f6:89:43
47.398,8.54634,10.2,40.1881,-70,85:92:3b:56:c7:33
47.398,8.54634,10.2,29.9741,-66,cf:b0:58:77:a8:b2
47.398,8.54634,10.2,47.6161,-71,90:d7:23:69:16:70
47.398,8.54634,10.2,35.4168,-68,7c:cd:d1:a0:1b:21
47.398,8.54634,10.19,46.6592,-71,cd:b6:52:f6:89:43
47.398,8.54634,10.19,41.2174,-70,85:92:3b:56:c7:33
47.398,8.54634,10.19,32.1093,-67,cf:b0:58:77:a8:b2
47.398,8.54634,10.19,49.6861,-72,90:d7:23:69:16:70
47.398,8.54634,10.19,33.735,-68,7c:cd:d1:a0:1b:21
47.398,8.54634,10.19,45.6763,-71,cd:b6:52:f6:89:43
47.398,8.54634,10.19,41.9582,-70,85:92:3b:56:c7:33
47.398,8.54634,10.19,33.5528,-68,cf:b0:58:77:a8:b2
47.398,8.54634,10.19,51.0337,-72,90:d7:23:69:16:70
47.398,8.54634,10.19,32.797,-67,7c:cd:d1:a0:1b:21
47.398,8.54634,10.22,45.1743,-71,cd:b6:52:f6:89:43
47.398,8.54634,10.22,42.1161,-70,85:92:3b:56:c7:33
47.398,8.54634,10.22,34.1669,-68,cf:b0:58:77:a8:b2
47.398,8.54634,10.22,51.4861,-72,90:d7:23:69:16:70
47.398,8.54634,10.22,32.3272,-67,7c:cd:d1:a0:1b:21
47.398,8.54632,10.24,44.0792,-71,cd:b6:52:f6:89:43
47.398,8.54632,10.24,41.0641,-70,85:92:3b:56:c7:33
47.398,8.54632,10.24,34.8026,-68,cf:b0:58:77:a8:b2
47.398,8.54632,10.24,51.1009,-72,90:d7:23:69:16:70
47.398,8.54632,10.24,31.3101,-67,7c:cd:d1:a0:1b:21
47.398,8.54627,10.23,42.16,-70,cd:b6:52:f6:89:43
47.398,8.54627,10.23,38.3727,-69,85:92:3b:56:c7:33
47.398,8.54627,10.23,35.9208,-68,cf:b0:58:77:a8:b2
47.398,8.54627,10.23,49.7643,-72,90:d7:23:69:16:70
47.398,8.54627,10.23,29.6352,-66,7c:cd:d1:a0:1b:21
47.398,8.54621,10.21,40.0088,-70,cd:b6:52:f6:89:43
47.398,8.54621,10.21,36.1113,-68,85:92:3b:56:c7:33
47.398,8.54621,10.21,38.1252,-69,cf:b0:58:77:a8:b2
47.398,8.54621,10.21,49.2314,-72,90:d7:23:69:16:70
47.398,8.54621,10.21,27.958,-66,7c:cd:d1:a0:1b:21
47.398,8.54619,10.2,39.3868,-69,cd:b6:52:f6:89:43
47.398,8.54619,10.2,35.1087,-68,85:92:3b:56:c7:33
47.398,8.54619,10.2,38.926,-69,cf:b0:58:77:a8:b2
47.398,8.54619,10.2,48.8705,-72,90:d7:23:69:16:70
47.398,8.54619,10.2,27.5866,-66,7c:cd:d1:a0:1b:21
47.398,8.54618,10.41,39.2049,-69,cd:b6:52:f6:89:43
47.398,8.54618,10.41,34.3825,-68,85:92:3b:56:c7:33
47.398,8.54618,10.41,38.861,-69,cf:b0:58:77:a8:b2
47.398,8.54618,10.41,48.3005,-72,90:d7:23:69:16:70
47.398,8.54618,10.41,27.4821,-65,7c:cd:d1:a0:1b:21
47.398,8.54618,11.07,40.033,-70,cd:b6:52:f6:89:43
47.398,8.54618,11.07,32.7689,-67,85:92:3b:56:c7:33
47.398,8.54618,11.07,36.9153,-69,cf:b0:58:77:a8:b2
47.398,8.54618,11.07,46.0756,-71,90:d7:23:69:16:70
47.398,8.54618,11.07,28.2167,-66,7c:cd:d1:a0:1b:21
47.398,8.54617,12.14,42.0311,-70,cd:b6:52:f6:89:43
47.398,8.54617,12.14,30.2774,-67,85:92:3b:56:c7:33
47.398,8.54617,12.14,33.6925,-68,cf:b0:58:77:a8:b2
47.398,8.54617,12.14,42.2212,-70,90:d7:23:69:16:70
47.398,8.54617,12.14,30.2189,-67,7c:cd:d1:a0:1b:21
47.3981,8.54617,13.23,44.446,-71,cd:b6:52:f6:89:43
47.3981,8.54617,13.23,28.3683,-66,85:92:3b:56:c7:33
47.3981,8.54617,13.23,30.8681,-67,cf:b0:58:77:a8:b2
47.3981,8.54617,13.23,38.5622,-69,90:d7:23:69:16:70
47.3981,8.54617,13.23,32.7924,-67,7c:cd:d1:a0:1b:21
47.3981,8.54617,14.02,46.0938,-71,cd:b6:52:f6:89:43
47.3981,8.54617,14.02,27.3821,-65,85:92:3b:56:c7:33
47.3981,8.54617,14.02,29.3467,-66,cf:b0:58:77:a8:b2
47.3981,8.54617,14.02,36.2702,-68,90:d7:23:69:16:70
47.3981,8.54617,14.02,34.6112,-68,7c:cd:d1:a0:1b:21
47.3981,8.54616,14.47,47.4218,-71,cd:b6:52:f6:89:43
47.3981,8.54616,14.47,26.9541,-65,85:92:3b:56:c7:33
47.3981,8.54616,14.47,28.497,-66,cf:b0:58:77:a8:b2
47.3981,8.54616,14.47,34.8043,-68,90:d7:23:69:16:70
47.3981,8.54616,14.47,36.0777,-68,7c:cd:d1:a0:1b:21
47.3981,8.54616,14.77,48.2776,-72,cd:b6:52:f6:89:43
47.3981,8.54616,14.77,26.8851,-65,85:92:3b:56:c7:33
47.3981,8.54616,14.77,27.8934,-66,cf:b0:58:77:a8:b2
47.3981,8.54616,14.77,33.9779,-68,90:d7:23:69:16:70
47.3981,8.54616,14.77,36.9919,-69,7c:cd:d1:a0:1b:21
47.3981,8.54618,14.91,48.5715,-72,cd:b6:52:f6:89:43
47.3981,8.54618,14.91,27.7752,-66,85:92:3b:56:c7:33
47.3981,8.54618,14.91,26.748,-65,cf:b0:58:77:a8:b2
47.3981,8.54618,14.91,34.2125,-68,90:d7:23:69:16:70
47.3981,8.54618,14.91,37.0763,-69,7c:cd:d1:a0:1b:21
47.3981,8.54624,15.03,49.9899,-72,cd:b6:52:f6:89:43
47.3981,8.54624,15.03,30.4955,-67,85:92:3b:56:c7:33
47.3981,8.54624,15.03,24.0443,-64,cf:b0:58:77:a8:b2
47.3981,8.54624,15.03,35.129,-68,90:d7:23:69:16:70
47.3981,8.54624,15.03,38.0483,-69,7c:cd:d1:a0:1b:21
47.3981,8.54629,15.11,51.828,-72,cd:b6:52:f6:89:43
47.3981,8.54629,15.11,33.7594,-68,85:92:3b:56:c7:33
47.3981,8.54629,15.11,21.5686,-63,cf:b0:58:77:a8:b2
47.3981,8.54629,15.11,36.6385,-69,90:d7:23:69:16:70
47.3981,8.54629,15.11,39.518,-69,7c:cd:d1:a0:1b:21
47.3982,8.54632,15.14,52.9695,-73,cd:b6:52:f6:89:43
47.3982,8.54632,15.14,35.4133,-68,85:92:3b:56:c7:33
47.3982,8.54632,15.14,20.539,-62,cf:b0:58:77:a8:b2
47.3982,8.54632,15.14,37.4262,-69,90:d7:23:69:16:70
47.3982,8.54632,15.14,40.5369,-70,7c:cd:d1:a0:1b:21
47.3981,8.54633,15.18,52.9461,-73,cd:b6:52:f6:89:43
47.3981,8.54633,15.18,35.9308,-68,85:92:3b:56:c7:33
47.3981,8.54633,15.18,20.358,-62,cf:b0:58:77:a8:b2
47.3981,8.54633,15.18,37.9207,-69,90:d7:23:69:16:70
47.3981,8.54633,15.18,40.4467,-70,7c:cd:d1:a0:1b:21
47.3981,8.54633,15.22,51.1594,-72,cd:b6:52:f6:89:43
47.3981,8.54633,15.22,35.9012,-68,85:92:3b:56:c7:33
47.3981,8.54633,15.22,21.192,-63,cf:b0:58:77:a8:b2
47.3981,8.54633,15.22,39.0282,-69,90:d7:23:69:16:70
47.3981,8.54633,15.22,38.5205,-69,7c:cd:d1:a0:1b:21
47.3981,8.54633,15.2,48.0614,-72,cd:b6:52:f6:89:43
47.3981,8.54633,15.2,36.2782,-68,85:92:3b:56:c7:33
47.3981,8.54633,15.2,23.4804,-64,cf:b0:58:77:a8:b2
47.3981,8.54633,15.2,41.4054,-70,90:d7:23:69:16:70
47.3981,8.54633,15.2,35.1989,-68,7c:cd:d1:a0:1b:21
47.398,8.54634,15.2,45.2235,-71,cd:b6:52:f6:89:43
47.398,8.54634,15.2,37.2321,-69,85:92:3b:56:c7:33
47.398,8.54634,15.2,26.3923,-65,cf:b0:58:77:a8:b2
47.398,8.54634,15.2,44.138,-71,90:d7:23:69:16:70
47.398,8.54634,15.2,32.203,-67,7c:cd:d1:a0:1b:21
47.398,8.54634,15.18,43.6536,-71,cd:b6:52:f6:89:43
47.398,8.54634,15.18,38.2205,-69,85:92:3b:56:c7:33
47.398,8.54634,15.18,28.4797,-66,cf:b0:58:77:a8:b2
47.398,8.54634,15.18,46.0993,-71,90:d7:23:69:16:70
47.398,8.54634,15.18,30.5859,-67,7c:cd:d1:a0:1b:21
47.398,8.54634,15.2,42.6095,-70,cd:b6:52:f6:89:43
47.398,8.54634,15.2,39.0414,-69,85:92:3b:56:c7:33
47.398,8.54634,15.2,30.0408,-66,cf:b0:58:77:a8:b2
47.398,8.54634,15.2,47.5488,-71,90:d7:23:69:16:70
47.398,8.54634,15.2,29.545,-66,7c:cd:d1:a0:1b:21
47.398,8.54634,15.21,41.9472,-70,cd:b6:52:f6:89:43
47.398,8.54634,15.21,39.4807,-69,85:92:3b:56:c7:33
47.398,8.54634,15.21,31.0368,-67,cf:b0:58:77:a8:b2
